Section,#,Check,iPhone,Android phone,Tablet,Notes
1. Layout and viewport,1,No page has horizontal scroll or clipped content at phone width (~375px) and tablet width (~768px+),,,,
1. Layout and viewport,2,Bottom nav never overlaps page content; on a notch/home-indicator device the nav sits above the home indicator not behind it,,,,
1. Layout and viewport,3,Thai text (longer than English on buttons/labels) never overflows or wraps awkwardly on a narrow screen,,,,
1. Layout and viewport,4,Rotating the device portrait to landscape and back does not break the layout lose scroll position or reload the page unexpectedly,,,,
1. Layout and viewport,5,On /map the map area fills the screen correctly even as the browser's address bar collapses/expands while scrolling,,,,
2. Touch interaction on the map,1,Pinch to zoom in/out is smooth (not jumpy or stuck between only two sizes),,,,
2. Touch interaction on the map,2,One-finger drag pans the map smoothly; dragging while zoomed out fully never loses the map off-screen,,,,
2. Touch interaction on the map,3,Tapping a small store plot selects that exact plot and not a neighboring one,,,,
2. Touch interaction on the map,4,Tapping a checkpoint pin opens that checkpoint's detail sheet reliably on the first tap,,,,
2. Touch interaction on the map,5,"As admin: the show-empty-plots toggle button, photo upload tile, and photo delete (x) buttons are all easy to tap without mis-tapping something else",,,,
2. Touch interaction on the map,6,The bottom sheet opens and closes cleanly (tap outside or the close button) and never gets stuck half-open,,,,
3. Camera and QR scanning,1,Opening /scan prompts for camera permission and allowing it shows a live video feed within a few seconds,,,,
3. Camera and QR scanning,2,Denying camera permission falls back to the manual code-entry box without crashing the page,,,,
3. Camera and QR scanning,3,Scanning a real printed/displayed QR code is detected reliably in normal indoor lighting,,,,
3. Camera and QR scanning,4,Switching to another app mid-scan and returning does not leave the camera frozen or require a page reload,,,,
4. Store photo upload (admin),1,Tapping อัปโหลดรูป offers the native choice between taking a photo and picking from the library,,,,
4. Store photo upload (admin),2,A full-resolution phone photo (HEIC on iPhone several MB) uploads successfully and displays as a thumbnail,,,,
4. Store photo upload (admin),3,Uploading over a slow mobile connection shows the กำลังอัปโหลด state and does not let you double-submit,,,,
5. Forms and keyboard,1,Tapping a text field focuses it and the on-screen keyboard never covers that field or its submit button,,,,
5. Forms and keyboard,2,The email field shows an email-style keyboard (with @) and the password field masks input and offers a show/hide toggle if present,,,,
5. Forms and keyboard,3,The browser's/OS's saved-password autofill suggestion works normally on login and signup,,,,
6. Achievement photo capture,1,The camera preview and winner-frame overlay render correctly and ถ่ายภาพ captures a usable image,,,,
6. Achievement photo capture,2,เลือกรูปภาพจากคลัง works correctly when camera access is denied,,,,
7. Cross-cutting,1,The app works over real mobile data (not just wifi) without the live map sync (SSE) hanging or erroring,,,,
7. Cross-cutting,2,Session stays logged in after backgrounding the browser/app for a while and returning,,,,
7. Cross-cutting,3,Dark/light mode follows the device's OS setting correctly on first load,,,,
