Section,#,Check,Computer,Phone 1,Phone 2,Other,Notes
"1. Guest",1,"Open the site in a private window. Bottom nav shows 4 tabs: ข้อมูลทั่วไป / แผนที่ / สแกน QR / อื่นๆ.",,,,,
"1. Guest",2,"ข้อมูลทั่วไป (/): market history text renders, progress card shows 0 / 7 จุด / 0%, all 7 checkpoints listed as ""ยังไม่สแกน"".",,,,,
"1. Guest",3,"แผนที่ (/map): shows the ""กำลังจัดทำ"" placeholder, no error.",,,,,
"1. Guest",4,"สแกน QR (/scan): browser prompts for camera permission; after allowing, video feed appears. The ""กล้องใช้งานไม่ได้?"" manual-entry box is visible below it.",,,,,
"1. Guest",5,"อื่นๆ (/others): shows project blurb, GitHub link (opens correct repo), ""เข้าสู่ระบบ"" and ""สมัครสมาชิก"" links (not ""บัญชีของฉัน"").",,,,,
"1. Guest",6,"Visiting /admin, /store, or /account directly while logged out redirects to /login.",,,,,
"2. Checkpoint scanning",1,"Manual entry: type a real checkpoint's 6-digit code into the ""กล้องใช้งานไม่ได้?"" box → success toast fires and the checkpoint list below updates to ""สแกนแล้ว"" without needing a refresh.",,,,,
"2. Checkpoint scanning",2,"Submit the same code again → info toast (""สแกนไปแล้ว""), not counted twice, progress count unchanged.",,,,,
"2. Checkpoint scanning",3,"Submit an invalid 6-digit code (not one of the real ones) → error toast, nothing marked.",,,,,
"2. Checkpoint scanning",4,"Camera scan: point the camera at a real printed/displayed QR code for a checkpoint → same success behavior as manual entry, list updates instantly.",,,,,
"2. Checkpoint scanning",5,"After scanning 2–3 checkpoints, go to ข้อมูลทั่วไป → progress bar and count reflect the scans made from the Scan tab.",,,,,
"2. Checkpoint scanning",6,"Reload the page (guest, not logged in) → scans from localStorage persist.",,,,,
"3. Sign up (tourist)",1,"/others → ""สมัครสมาชิก"". Fill name/email/password, leave role on ""นักท่องเที่ยว / ผู้ใช้ทั่วไป"".",,,,,
"3. Sign up (tourist)",2,"Submit with a weak password (< 8 chars, or missing a letter/number) → inline field error, no account created.",,,,,
"3. Sign up (tourist)",3,"Submit with an email already registered → ""อีเมลนี้ถูกใช้งานแล้ว"" error, no duplicate account.",,,,,
"3. Sign up (tourist)",4,"Submit valid data → redirected to /verify-2fa, subtitle shows the correct email address.",,,,,
"3. Sign up (tourist)",5,"Check the inbox for that email (or RESEND_API_KEY unset → check server logs) — 6-digit code arrives within a few seconds.",,,,,
"3. Sign up (tourist)",6,"Enter the code → redirected to /account. Enter a wrong code first → error shown, doesn't redirect; then enter the right one → succeeds.",,,,,
"3. Sign up (tourist)",7,"Any checkpoints scanned as a guest before signing up now show as scanned on /account (local→account merge worked).",,,,,
"4. Sign up (store)",1,"Same flow as tourist, but choose ""ผู้ประกอบการ / ร้านค้า"" — a ""ชื่อร้านค้า"" field appears.",,,,,
"4. Sign up (store)",2,"Submitting with that field empty (or 1 character) → validation error, doesn't submit.",,,,,
"4. Sign up (store)",3,"After verifying the emailed code, lands on /store (not /account), showing the ""กำลังพัฒนา"" placeholder with the store's own name/subtitle.",,,,,
"4. Sign up (store)",4,"/account for this user shows a ""ไปยังหน้าร้านค้า"" link, and the store name as a badge.",,,,,
"5. Login",1,"Wrong password → ""อีเมลหรือรหัสผ่านไม่ถูกต้อง"", generic (doesn't reveal whether the email exists).",,,,,
"5. Login",2,"Correct password → redirected to /verify-2fa, new code emailed.",,,,,
"5. Login",3,"""ส่งรหัสอีกครั้ง"" (resend) works once; clicking it again immediately (within 30s) is rate-limited with an error message.",,,,,
"5. Login",4,"After verifying, landing page matches role: user → /account, store → /store, admin → /admin.",,,,,
"5. Login",5,"Log out (button on /account or /admin), then confirm /account redirects to /login again.",,,,,
"6. Role gating",1,"user-role account visiting /admin → bounced to /account.",,,,,
"6. Role gating",2,"user-role account visiting /store → bounced to /account.",,,,,
"6. Role gating",3,"store-role account visiting /admin → bounced to /account.",,,,,
"6. Role gating",4,"store-role account visiting /store → allowed.",,,,,
"6. Role gating",5,"admin-role account can visit /admin and /store (both allowed for admin).",,,,,
"7. Admin tools",1,"All 7 checkpoints listed with their 6-digit codes visible as text.",,,,,
"7. Admin tools",2,"Tapping the circle icon toggles a checkpoint's scanned state instantly (no refresh) — affects the admin's own account only.",,,,,
"7. Admin tools",3,"Tapping the QR icon opens a dialog showing a scannable QR image for that checkpoint's code.",,,,,
"7. Admin tools",4,"""รีเซ็ตทั้งหมด"" clears the admin's own progress back to 0 / 7, with a confirmation toast.",,,,,
"7. Admin tools",5,"Resetting the admin's progress does not affect any other account's progress (check by logging in as a different user afterward).",,,,,
"8. Account page",1,"Correct name, email, role badge, and (for store) store-name badge shown.",,,,,
"8. Account page",2,"Toggling ""รับข่าวสารและกิจกรรมใหม่ๆ..."" shows a toast, and the checkbox state survives a page reload.",,,,,
"8. Account page",3,"Progress card + checkpoint list here match what's shown on the Scan tab (same shared state).",,,,,
"9. Cross-cutting",1,"Theming: toggle the OS/browser between light and dark mode — text stays legible, no invisible text or broken contrast in either mode.",,,,,
"9. Cross-cutting",2,"Mobile viewport: bottom nav doesn't overlap content, safe-area padding looks correct (no content hidden behind a phone's home bar).",,,,,
"9. Cross-cutting",3,"Session persistence: log in, close the browser tab entirely, reopen the site → still logged in.",,,,,
"9. Cross-cutting",4,"Multiple tabs: log in on one tab, open a second tab to the same site → also logged in. Scan a checkpoint in one tab, switch to the other, reload → sees the update.",,,,,
